date,region,abbreviation,hpi
1980-10-01,South,AR,108.95
1981-01-01,South,AR,110.03
1981-04-01,South,AR,107.24
1981-07-01,South,AR,110.81
1981-10-01,South,AR,102.88
1982-01-01,South,AR,103.57
1982-04-01,South,AR,106.49
1982-07-01,South,AR,111.27
1982-10-01,South,AR,109.11
1983-01-01,South,AR,113.56
1983-04-01,South,AR,117.13
1983-07-01,South,AR,118.65
1983-10-01,South,AR,119.08
1984-01-01,South,AR,120.85
1984-04-01,South,AR,119.02
1984-07-01,South,AR,119.87
1984-10-01,South,AR,121.41
1985-01-01,South,AR,121.88
1985-04-01,South,AR,120.32
1985-07-01,South,AR,124.4
1985-10-01,South,AR,124.84
1986-01-01,South,AR,126.12
1986-04-01,South,AR,129.04
1986-07-01,South,AR,126.99
1986-10-01,South,AR,128.73
1987-01-01,South,AR,129.76
1987-04-01,South,AR,131.28
1987-07-01,South,AR,128.05
1987-10-01,South,AR,124.5
1988-01-01,South,AR,127.03
1988-04-01,South,AR,127.8
1988-07-01,South,AR,127.36
1988-10-01,South,AR,126.68
1989-01-01,South,AR,127.75
1989-04-01,South,AR,127.35
1989-07-01,South,AR,128.57
1989-10-01,South,AR,127.6
1990-01-01,South,AR,128.15
1990-04-01,South,AR,128.38
1990-07-01,South,AR,129.3
1990-10-01,South,AR,128.74
1991-01-01,South,AR,130.01
1991-04-01,South,AR,130.79
1991-07-01,South,AR,131.91
1991-10-01,South,AR,134.13
1992-01-01,South,AR,135.14
1992-04-01,South,AR,134.39
1992-07-01,South,AR,136.86
1992-10-01,South,AR,137.59
1993-01-01,South,AR,138.84
1993-04-01,South,AR,141.06
1993-07-01,South,AR,143.55
1993-10-01,South,AR,145.25
1994-01-01,South,AR,148.18
1994-04-01,South,AR,149.36
1994-07-01,South,AR,151.09
1994-10-01,South,AR,152.54
1995-01-01,South,AR,153.1
1995-04-01,South,AR,157.29
1995-07-01,South,AR,159.23
1995-10-01,South,AR,159.89
1996-01-01,South,AR,162.52
1996-04-01,South,AR,162.68
1996-07-01,South,AR,162.51
1996-10-01,South,AR,164.36
1997-01-01,South,AR,165.8
1997-04-01,South,AR,167.44
1997-07-01,South,AR,168.13
1997-10-01,South,AR,170.3
1998-01-01,South,AR,172.23
1998-04-01,South,AR,172.16
1998-07-01,South,AR,174.92
1998-10-01,South,AR,177.0
1999-01-01,South,AR,177.75
1999-04-01,South,AR,177.97
1999-07-01,South,AR,178.67
1999-10-01,South,AR,179.18
2000-01-01,South,AR,180.15
2000-04-01,South,AR,181.91
2000-07-01,South,AR,182.97
2000-10-01,South,AR,185.45
2001-01-01,South,AR,190.03
2001-04-01,South,AR,191.17
2001-07-01,South,AR,193.17
2001-10-01,South,AR,195.1
2002-01-01,South,AR,195.87
2002-04-01,South,AR,196.74
2002-07-01,South,AR,199.95
2002-10-01,South,AR,202.4
2003-01-01,South,AR,203.97
2003-04-01,South,AR,205.24
2003-07-01,South,AR,207.78
2003-10-01,South,AR,210.79
2004-01-01,South,AR,213.48
2004-04-01,South,AR,217.09
2004-07-01,South,AR,220.6
2004-10-01,South,AR,224.53
2005-01-01,South,AR,227.68
2005-04-01,South,AR,232.87
2005-07-01,South,AR,238.01
2005-10-01,South,AR,241.2
2006-01-01,South,AR,244.87
2006-04-01,South,AR,248.34
2006-07-01,South,AR,250.89
2006-10-01,South,AR,253.1
2007-01-01,South,AR,255.34
2007-04-01,South,AR,256.96
2007-07-01,South,AR,256.49
2007-10-01,South,AR,257.79
2008-01-01,South,AR,257.64
2008-04-01,South,AR,256.75
2008-07-01,South,AR,253.66
2008-10-01,South,AR,254.97
2009-01-01,South,AR,257.25
2009-04-01,South,AR,253.95
2009-07-01,South,AR,249.9
2009-10-01,South,AR,248.93
2010-01-01,South,AR,245.46
2010-04-01,South,AR,246.17
2010-07-01,South,AR,247.01
2010-10-01,South,AR,245.65
2011-01-01,South,AR,241.8
2011-04-01,South,AR,240.41
2011-07-01,South,AR,242.23
2011-10-01,South,AR,243.52
2012-01-01,South,AR,242.99
2012-04-01,South,AR,240.52
2012-07-01,South,AR,244.0
2012-10-01,South,AR,245.57
2013-01-01,South,AR,246.41
2013-04-01,South,AR,246.85
2013-07-01,South,AR,247.13
2013-10-01,South,AR,246.69
2014-01-01,South,AR,248.35
2014-04-01,South,AR,248.01
2014-07-01,South,AR,250.06
2014-10-01,South,AR,253.16
2015-01-01,South,AR,253.09
2015-04-01,South,AR,254.08
2015-07-01,South,AR,257.96
2015-10-01,South,AR,259.63
2016-01-01,South,AR,258.91
2016-04-01,South,AR,262.4
2016-07-01,South,AR,265.64
2016-10-01,South,AR,267.12
2017-01-01,South,AR,269.55
2017-04-01,South,AR,271.27
2017-07-01,South,AR,275.03
2017-10-01,South,AR,277.42
2018-01-01,South,AR,279.91
2018-04-01,South,AR,282.8
2018-07-01,South,AR,285.51
2018-10-01,South,AR,288.17
2019-01-01,South,AR,289.75
2019-04-01,South,AR,294.0
2019-07-01,South,AR,297.87
2019-10-01,South,AR,300.81
2020-01-01,South,AR,302.99
2020-04-01,South,AR,304.23
1975-01-01,West,CA,41.59
1975-04-01,West,CA,42.74
1975-07-01,West,CA,44.24
1975-10-01,West,CA,45.79
1976-01-01,West,CA,47.74
1976-04-01,West,CA,50.21
1976-07-01,West,CA,53.53
1976-10-01,West,CA,55.47
1977-01-01,West,CA,57.95
1977-04-01,West,CA,62.95
1977-07-01,West,CA,67.91
1977-10-01,West,CA,70.61
1978-01-01,West,CA,73.18
1978-04-01,West,CA,75.95
1978-07-01,West,CA,78.55
1978-10-01,West,CA,81.62
1979-01-01,West,CA,84.83
1979-04-01,West,CA,88.59
1979-07-01,West,CA,93.07
1979-10-01,West,CA,96.35
1980-01-01,West,CA,100.0
1980-04-01,West,CA,102.88
1980-07-01,West,CA,106.55
1980-10-01,West,CA,108.41
1981-01-01,West,CA,110.58
1981-04-01,West,CA,113.08
1981-07-01,West,CA,116.52
1981-10-01,West,CA,117.77
1982-01-01,West,CA,115.29
1982-04-01,West,CA,116.4
1982-07-01,West,CA,117.01
1982-10-01,West,CA,116.93
1983-01-01,West,CA,117.76
1983-04-01,West,CA,117.71
1983-07-01,West,CA,117.49
1983-10-01,West,CA,117.94
1984-01-01,West,CA,119.74
1984-04-01,West,CA,120.33
1984-07-01,West,CA,121.81
1984-10-01,West,CA,122.88
1985-01-01,West,CA,124.64
