lat,lon
36.3470087,-84.1619741
35.922173,-84.0934517
37.541844,-122.3020284
42.1542608,-87.8038819
43.889403,-85.5235787
42.70112,-71.4361458
36.1012929,-115.1881542
28.2464668,-81.2963119
40.5314983,-88.9964595
39.7696436,-105.006967
40.8268608,-73.102974
39.7852569,-105.0257813
46.2262351,-119.2204363
34.0333311,-84.0500881
44.8943391,-94.395015
41.4592789,-87.0675891
39.8659078,-75.4276042
40.3748777,-80.7048799
43.0574347,-85.9575846
39.4583397,-75.2092951
33.5136326,-80.8604375
42.3563183,-71.0619123
39.7791941,-104.9512587
39.5092646,-87.3854437
44.2073188,-69.8279147
35.2204966,-80.9437722
42.4033953,-71.2347401
37.9353359,-122.3565047
35.5577234,-81.0637944
25.9866645,-80.1257559
41.3609808,-71.812434
41.0417989,-75.3124482
35.7709139,-83.9911227
42.3861986,-71.0096919
39.9780008,-75.1582913
31.4633802,-100.444822
40.4954508,-74.4438279
36.1657829,-84.0849579
36.0699002,-79.8698057
36.133859,-115.0852064
27.9930611,-82.1210445
38.8867608,-121.29198
61.1955252,-149.9099645
36.000182,-106.0634229
29.6933055,-96.540478
37.9551435,-87.541308
36.0701942,-79.2964209
44.272541,-85.4060744
34.9921664,-118.9414664
38.064868,-78.4881421
34.586221,-112.3294226
33.7469873,-90.7163714
35.1654392,-78.9717094
30.0031658,-90.1633025
38.559894,-121.4220119
34.0750383,-117.890496
34.0592133,-84.3847033
31.8884413,-102.355234
41.6206673,-85.8985118
26.2419043,-80.2494193
40.0267639,-76.3271308
37.7849912,-122.4084582
29.6995244,-95.1232978
40.1921108,-76.1771577
42.9493633,-76.5479541
37.9724916,-122.044176
43.0451919,-86.219421
41.8241889,-71.4981675
40.5723043,-112.2960495
42.648238,-85.3055449
29.7293972,-99.0774299
40.6672075,-111.9854131
40.6247221,-111.9284092
41.864848,-87.7916926
38.4241425,-78.839575
33.2262465,-97.593376
26.2449531,-80.2538835
44.4853212,-88.0687571
44.485769,-87.9698596
37.2794055,-107.8790487
44.2683513,-88.4708661
26.3012424,-80.1337995
40.4507541,-76.5136135
39.547008,-105.0358047
30.0681894,-90.4821757
35.1296042,-78.8795005
36.1971287,-115.1268274
30.4914403,-81.685164
32.4912427,-82.9333623
35.8287272,-78.7702197
47.0888208,-122.5894197
33.4652572,-86.8225297
41.9376639,-84.9849201
42.1506361,-88.4318394
42.1725507,-88.335918
38.938969,-76.9065474
42.1364693,-83.3870977
38.7373258,-90.3555031
27.9981126,-80.6333974
40.7738465,-74.0280706
36.0940909,-115.2968855
39.9006402,-88.9545522
31.1381654,-81.5799487
39.08139,-78.2133865
35.4594253,-86.0541115
41.8093552,-87.6076257
40.0057899,-86.1264477
40.9144072,-81.106327
40.7983733,-73.9414207
39.3924725,-74.535913
44.2953059,-105.5276776
37.7025741,-121.9331977
43.0843068,-96.7927916
34.0611473,-84.5923278
25.7886946,-80.3829235
41.8560325,-72.4309002
36.3498174,-82.2386815
33.3373999,-111.8552604
41.1188009,-81.4822635
46.6054242,-120.4812487
44.9041849,-123.040443
31.4489188,-85.6568501
37.6184884,-122.3862235
39.4765644,-118.8028179
26.3495896,-80.1578406
26.0320435,-80.1435524
41.2752395,-72.9528259
25.782071,-80.1323222
41.2764327,-72.8358366
28.6681228,-82.1406836
33.7011834,-78.9279807
33.2108412,-97.1471153
36.1761519,-94.1932061
40.72196,-74.0926087
37.3874225,-120.7380152
40.0879641,-74.9671521
40.6804956,-73.949249
37.138638,-93.3202062
29.7737701,-95.8182015
41.3125322,-73.0567619
38.8019868,-90.6211701
43.2294427,-123.36816
30.3320597,-82.9601383
34.0073808,-81.1412738
29.3366405,-81.1333939
36.0678223,-79.5137341
34.0322306,-81.1240095
38.6175638,-121.3982056
34.099765,-81.1790607
37.9489421,-122.3320994
38.5300068,-90.0355722
43.0076741,-78.950439
38.2213732,-122.1266504
33.364946,-111.6027317
46.8987178,-102.7906287
38.9471092,-91.9399932
44.273882,-88.5077046
41.0275888,-81.5107843
33.6296876,-85.785768
33.834907,-81.0907607
41.8419399,-71.876215
32.1784093,-110.9181589
34.0939481,-84.2801437
25.7740983,-80.1396986
42.3658464,-71.0163619
40.6466941,-74.6430634
36.1601508,-115.33344
42.6748256,-71.1275376
40.7003453,-73.9029764
36.1435505,-115.28155
47.6328248,-122.6296151
37.0761574,-85.337518
40.7597,-73.8303874
29.728231,-95.5583898
36.1945316,-115.0625202
42.0657509,-87.9186391
36.5520003,-82.6217997
30.6766317,-88.1157595
42.2550063,-71.7993725
32.9116626,-96.6303473
38.051066,-84.7106588
41.5215689,-83.4622762
40.2047485,-75.0971283
39.9642194,-74.1960075
40.9006217,-80.8359518
33.809899,-118.125674
33.7793819,-86.4304097
39.131852,-84.5173846
39.4101149,-86.4240169
34.4748373,-114.3454753
35.3815091,-96.9302199
39.7429042,-84.1829555
30.2117922,-95.7531302
30.6222573,-87.0439984
27.1049114,-82.435416
41.5545098,-87.6355144
36.0808593,-115.1357884
36.3260173,-119.3313585
35.8484713,-79.0887741
28.3384694,-98.0291741
41.5574619,-87.6947632
40.652396,-75.414084
36.0358775,-78.8928466
42.5322265,-85.8716662
42.4212028,-122.8534482
33.7953578,-111.9655435
38.2007092,-85.2685533
44.2646924,-86.3148295
40.0744041,-86.9063369
35.6744877,-82.0138574
40.4798211,-85.5469287
34.0737062,-117.5512514
40.4155916,-120.6511098
41.5203387,-87.6483146
31.9639646,-95.2687986
40.7579095,-73.9909024
40.2954622,-78.8365238
40.7064983,-73.6311474
33.9759262,-117.3581369
42.3102809,-88.4318766
40.9995832,-80.3489147
42.2513398,-84.3828442
43.4676568,-85.9668535
42.5663727,-84.8286821
40.7905139,-73.9456581
40.8034524,-73.9357042
44.454416,-89.5227659
25.7329076,-80.3084636
25.9619111,-80.1864456
36.6260328,-87.3183031
40.8150988,-73.9144194
25.7781843,-80.2894566
40.819115,-73.9272752
38.2440154,-85.5190246
35.5552279,-82.8507929
32.5313511,-96.8189053
36.5995296,-121.8497371
33.4670892,-94.0440615
47.6257658,-117.5361534
40.7369334,-73.7094212
45.8900893,-95.3660996
40.8360679,-81.3286388
34.1535633,-118.2581477
39.5626206,-76.9724414
35.9498396,-83.20087
32.9512199,-96.889875
29.7806318,-95.1250309
40.4666429,-90.6855039
31.1597497,-81.3906832
33.9530606,-84.0574554
